Company Name,Ticker,Sector,Exchange,Market Cap
CABOT MICROELEC,CCMP,Computer and Technology,NSDQ,1099.55
COGENT COMM HLD,CCOI,Computer and Technology,NSDQ,1321.64
CROSS COUNTRY,CCRN,Business Services,NSDQ,449.69
CDK GLOBAL INC,CDK,Computer and Technology,NSDQ,7869.91
CADENCE DESIGN,CDNS,Computer and Technology,NSDQ,6089.84
CDW CORP,CDW,Computer and Technology,NSDQ,6638.55
CELGENE CORP,CELG,Medical,NSDQ,101663.45
CEMPRA INC,CEMP,Medical,NSDQ,1773.55
CENTRAL GARDEN,CENT,Consumer Discretionary,NSDQ,506.97
CENTRAL GARDN-A,CENTA,Consumer Discretionary,NSDQ,552.38
CENTURY ALUM CO,CENX,Industrial Products,NSDQ,450.15
CERNER CORP,CERN,Medical,NSDQ,21879.92
CERUS CORP,CERS,Medical,NSDQ,476.86
CENTL EUR MEDIA,CETV,Consumer Discretionary,NSDQ,325.92
CEVA INC,CEVA,Computer and Technology,NSDQ,369.05
CAPITOL FEDL FN,CFFN,Finance,NSDQ,1665.2
CONFORMIS INC,CFMS,Medical,NSDQ,973.27
CARDINAL FINL,CFNL,Finance,NSDQ,759.81
CARLYLE GROUP,CG,Finance,NSDQ,1963.02
COGNEX CORP,CGNX,Computer and Technology,NSDQ,3243.68
CITY HLDGS CO,CHCO,Finance,NSDQ,728.29
CHURCHILL DOWNS,CHDN,Consumer Discretionary,NSDQ,2452.76
CHEFS WAREHOUSE,CHEF,Consumer Staples,NSDQ,430.65
CHEMICAL FINL,CHFC,Finance,NSDQ,1120.25
CHECK PT SOFTW,CHKP,Computer and Technology,NSDQ,14623.94
CHIASMA INC,CHMA,Medical,NSDQ,547.49
COHERUS BIOSC,CHRS,Medical,NSDQ,1280.54
CH ROBINSON WWD,CHRW,Transportation,NSDQ,10040.88
CHS INC,CHSCP,Consumer Staples,NSDQ,370
CHARTER COMM-A,CHTR,Computer and Technology,NSDQ,20595.43
CHUYS HOLDINGS,CHUY,Retail-Wholesale,NSDQ,526.64
COLLIERS INT GP,CIGI,Finance,NSDQ,1705.82
CINCINNATI FINL,CINF,Finance,NSDQ,9079.27
CNINSURE IN-ADR,CISG,Finance,NSDQ,528.11
CARMIKE CINEMA,CKEC,Consumer Discretionary,NSDQ,564.51
CELLDEX THERAPT,CLDX,Medical,NSDQ,2125.22
CELLECTIS-ADR,CLLS,Medical,NSDQ,1204.36
CALUMET SPECLTY,CLMT,Oils-Energy,NSDQ,1861.42
CLEAN EGY FUELS,CLNE,Utilities,NSDQ,439.91
CLOVIS ONCOLOGY,CLVS,Medical,NSDQ,3027.34
COLUMBUS MCKINN,CMCO,Industrial Products,NSDQ,439.45
COMCAST CORP  A,CMCSA,Consumer Discretionary,NSDQ,146604.56
COMCAST CLA SPL,CMCSK,Consumer Discretionary,NSDQ,146803.95
CIM COMMRCL TR,CMCT,Finance,NSDQ,1425.79
CME GROUP INC,CME,Finance,NSDQ,32823.85
CHINA MOBIL-ADR,CMGE,Computer and Technology,NSDQ,681.09
CUMULUS MEDIA,CMLS,Consumer Discretionary,NSDQ,341.31
CIMPRESS NV,CMPR,Industrial Products,NSDQ,2304.29
CHIMERIX INC,CMRX,Medical,NSDQ,2381.84
COMTECH TELECOM,CMTL,Computer and Technology,NSDQ,453.43
CONCERT PHARMA,CNCE,Medical,NSDQ,365.58
CONMED CORP,CNMD,Medical,NSDQ,1556.74
CONNECTONE BCP,CNOB,Finance,NSDQ,634.14
COMVERSE INC,CNSI,Computer and Technology,NSDQ,423.38
CONSOL COMM IL,CNSL,Utilities,NSDQ,1008.16
CNOVA NV,CNV,Retail-Wholesale,NSDQ,2285.92
COBIZ FINL INC,COBZ,Finance,NSDQ,512.04
COHERENT INC,COHR,Computer and Technology,NSDQ,1391.97
COCA COLA BOTTL,COKE,Consumer Staples,NSDQ,1517.2
COLUMBIA BK SYS,COLB,Finance,NSDQ,1887.66
COLLEGIUM PHARM,COLL,Medical,NSDQ,351.53
COLUMBIA SPORTS,COLM,Consumer Discretionary,NSDQ,4760.89
COMMSCOPE HLDG,COMM,Computer and Technology,NSDQ,5942.86
CYRUSONE INC,CONE,Finance,NSDQ,1989.52
CONNS INC,CONN,Retail-Wholesale,NSDQ,1177.14
CORE-MARK HLDG,CORE,Business Services,NSDQ,1470.79
CORCEPT THERAPT,CORT,Medical,NSDQ,572.18
COSTCO WHOLE CP,COST,Retail-Wholesale,NSDQ,63840.03
COWEN GROUP INC,COWN,Finance,NSDQ,596.19
CEPHEID INC,CPHD,Medical,NSDQ,3705.59
CAPELLA EDUCATN,CPLA,Consumer Discretionary,NSDQ,614.81
CAPITAL PRODUCT,CPLP,Transportation,NSDQ,862.02
COPART INC,CPRT,Business Services,NSDQ,4576.3
CATALYST PHARMA,CPRX,Medical,NSDQ,364.12
COMPUTER PRGRMS,CPSI,Medical,NSDQ,519.94
CRAY INC,CRAY,Computer and Technology,NSDQ,942.64
CREE INC,CREE,Computer and Technology,NSDQ,2784.61
CRESUD SA-ADR,CRESY,Consumer Staples,NSDQ,555.73
CURIS INC,CRIS,Medical,NSDQ,356.79
AMERICAS CAR-MT,CRMT,Retail-Wholesale,NSDQ,384.79
CROCS INC,CROX,Consumer Discretionary,NSDQ,1141.48
CRITEO SA-ADR,CRTO,Computer and Technology,NSDQ,2847.82
CIRRUS LOGIC,CRUS,Computer and Technology,NSDQ,1879.57
CORVEL CORP,CRVL,Business Services,NSDQ,657.16
CROWN MEDIA HLD,CRWN,Consumer Discretionary,NSDQ,1643.72
CARRIZO OIL&GAS,CRZO,Oils-Energy,NSDQ,1744.7
COMMUNICTNS S&L,CSAL,Finance,NSDQ,3185.32
CLIFTON BANCORP,CSBK,Finance,NSDQ,361.36
CISCO SYSTEMS,CSCO,Computer and Technology,NSDQ,143167.78
CENTERSTATE BNK,CSFL,Finance,NSDQ,631.93
COSTAR GRP INC,CSGP,Computer and Technology,NSDQ,6393.86
CSG SYS INTL,CSGS,Computer and Technology,NSDQ,1043.09
CARDIOVASCLR SY,CSII,Medical,NSDQ,761.33
CANADIAN SOLAR,CSIQ,Oils-Energy,NSDQ,1400.17
CORNERSTONE OND,CSOD,Computer and Technology,NSDQ,1962.8
CSR PLC-ADR,CSRE,Computer and Technology,NSDQ,2323.14
CAESAR STONE SD,CSTE,Construction,NSDQ,1902.4
CAPITAL SW CORP,CSWC,Finance,NSDQ,754.37
CINTAS CORP,CTAS,Industrial Products,NSDQ,9635.75
COMMUN TRUST BC,CTBI,Finance,NSDQ,612.46
CONSTANT CONTAC,CTCT,Computer and Technology,NSDQ,805.24
CTI BIOPHARMA,CTIC,Medical,NSDQ,319.24
CARETRUST REIT,CTRE,Finance,NSDQ,388.42
CITI TRENDS INC,CTRN,Retail-Wholesale,NSDQ,353.7
CTRIP.COM INTL,CTRP,Retail-Wholesale,NSDQ,9794.89
COGNIZANT TECH,CTSH,Computer and Technology,NSDQ,41283.23
CONN WATER SVC,CTWS,Utilities,NSDQ,376.83
CITRIX SYS INC,CTXS,Computer and Technology,NSDQ,12063.27
CU BANCORP CA,CUNB,Finance,NSDQ,374.47
CVB FINL,CVBF,Finance,NSDQ,1866.21
CAVCO INDUS INC,CVCO,Construction,NSDQ,649.67
CALAVO GROWERS,CVGW,Consumer Staples,NSDQ,949.11
COMMVAULT SYSTM,CVLT,Computer and Technology,NSDQ,1716.04
COVENANT TRANS,CVTI,Transportation,NSDQ,440.7
CONCORDIA HLTHC,CXRX,Medical,NSDQ,2721.56
CYPRESS SEMICON,CY,Computer and Technology,NSDQ,3721.74
CELYAD-ADR,CYAD,Medical,NSDQ,516.22
CYBER-ARK SFTWR,CYBR,Computer and Technology,NSDQ,1909.61
CYBERONICS INC,CYBX,Medical,NSDQ,1527.67
CYNOSURE INC-A,CYNO,Medical,NSDQ,844.56
CHANGYOU.COM,CYOU,Computer and Technology,NSDQ,1151.71
CAESARS ENTERTN,CZR,Consumer Discretionary,NSDQ,992.62
DAKTRONICS INC,DAKT,Computer and Technology,NSDQ,509.84
DBV TECH SA-ADR,DBVT,Medical,NSDQ,730.59
DIME COMM BNCSH,DCOM,Finance,NSDQ,632.21
DENNY'S CORP,DENN,Retail-Wholesale,NSDQ,1034.39
DEPOMED INC,DEPO,Medical,NSDQ,1977.63
DERMIRA INC,DERM,Medical,NSDQ,613.3
DEL FRISCOS RST,DFRG,Retail-Wholesale,NSDQ,356.44
DONEGAL GRP -A,DGICA,Finance,NSDQ,396.69
DONEGAL GRP -B,DGICB,Finance,NSDQ,588.64
DIAMOND HIL INV,DHIL,Finance,NSDQ,650.93
DIODES INC,DIOD,Computer and Technology,NSDQ,1002.68
DISCOVERY COM-A,DISCA,Consumer Discretionary,NSDQ,12656.23
DISCOVERY COM-B,DISCB,Consumer Discretionary,NSDQ,12187.68
