Company Name,Ticker,Sector,Market Cap,Exchange
BP PLC,BP,Oils-Energy,108703.62,NYSE
BRIDGEPOINT EDU,BPI,Consumer Discretionary,388.62,NYSE
BUCKEYE PARTNRS,BPL,Oils-Energy,8720.26,NYSE
BP PRUDHOE BAY,BPT,Oils-Energy,1071.28,NYSE
BROOKFIELD PPTY,BPY,Finance,5728.19,NYSE
BROADRIDGE FINL,BR,Business Services,6718.99,NYSE
BRADY CORP CL A,BRC,Industrial Products,1184.42,NYSE
BRF-BRASIL FOOD,BRFS,Consumer Staples,17036.44,NYSE
BERKSHIRE HTH-A,BRK.A,Finance,354005.31,NYSE
BERKSHIRE HTH-B,BRK.B,Finance,353785.75,NYSE
BROWN & BROWN,BRO,Finance,4728.77,NYSE
BRISTOW GROUP,BRS,Transportation,1513,NYSE
GLOBAL B&C HLD,BRSS,Industrial Products,390.46,NYSE
BRIXMOR PPTY GP,BRX,Finance,7357.75,NYSE
BANCO SANT -ADR,BSAC,Finance,9488.26,NYSE
BANCO SANT-ADS,BSBR,Finance,16645.84,NYSE
BLACK STONE MNL,BSM,Oils-Energy,1293.58,NYSE
GRUPO FIN SANTR,BSMX,Finance,5853.51,NYSE
BOSTON SCIENTIF,BSX,Medical,23180.29,NYSE
BT GRP PLC-ADR,BT,Utilities,60532.17,NYSE
BAYTEX ENERGY,BTE,Oils-Energy,1678.41,NYSE
JHN HAN BK & TH,BTO,Finance,528.26,NYSE
PEABODY ENERGY,BTU,Oils-Energy,292.27,NYSE
ANHEUSER-BU ADR,BUD,Consumer Staples,193986.14,NYSE
BURLINGTON STRS,BURL,Retail-Wholesale,4000.18,NYSE
BUENAVENTUR-ADR,BVN,Basic Materials,1624.25,NYSE
BABCOCK&WILCOX,BW,Computer and Technology,1048.04,NYSE
BORG WARNER INC,BWA,Auto-Tires-Trucks,10831.44,NYSE
BOARDWALK PIPLN,BWP,Oils-Energy,3343.97,NYSE
BWX TECHNOLGS,BWXT,Computer and Technology,2701.45,NYSE
BLACKSTONE GRP,BX,Finance,20742.23,NYSE
BELLATRIX EXPLR,BXE,Oils-Energy,318.65,NYSE
BAXALTA INC,BXLT,Medical,25433.54,NYSE
BLACKSTONE MRTG,BXMT,Finance,2676.63,NYSE
BOSTON PPTYS,BXP,Finance,18454.51,NYSE
BANCORPSOUTH,BXS,Finance,2441.44,NYSE
BOYD GAMING CP,BYD,Consumer Discretionary,1870.7,NYSE
BEAZER HOMES,BZH,Construction,463.06,NYSE
CITIGROUP INC,C,Finance,174300.13,NYSE
CABELAS INC,CAB,Retail-Wholesale,3066,NYSE
CABLE ONE INC,CABO,Consumer Discretionary,2421.9,NYSE
CACI INTL  A,CACI,Computer and Technology,1984.05,NYSE
CAE INC,CAE,Aerospace,3042.19,NYSE
CONAGRA FOODS,CAG,Consumer Staples,19362.76,NYSE
CARDINAL HEALTH,CAH,Medical,28147.36,NYSE
CANON INC ADR,CAJ,Computer and Technology,35357.08,NYSE
CALERES INC,CAL,Consumer Discretionary,1399.74,NYSE
CALIX INC,CALX,Computer and Technology,414.95,NYSE
CAMERON INTL,CAM,Oils-Energy,9476.11,NYSE
CAI INTL INC,CAP,Transportation,290.68,NYSE
CROSSAMERICA LP,CAPL,Oils-Energy,528.11,NYSE
CATERPILLAR INC,CAT,Industrial Products,46577.5,NYSE
CATO CORP A,CATO,Retail-Wholesale,961.21,NYSE
CHUBB CORP,CB,Finance,28434.02,NYSE
CLEARBRIDGE AMR,CBA,Finance,698.89,NYSE
CINCINNATI BELL,CBB,Utilities,803.92,NYSE
COMPANHIA BRASL,CBD,Retail-Wholesale,5157.29,NYSE
CBRE GROUP INC,CBG,Finance,12473.36,NYSE
CHICAGO BRIDGE,CBI,Construction,5563.04,NYSE
CBL&ASSOC PPTYS,CBL,Finance,2758.58,NYSE
CAMBREX CORP,CBM,Medical,1578.69,NYSE
CONTL BLDG PRD,CBPX,Construction,890.04,NYSE
